1|Family and people|mama=mother;tata=father;brat=brother;sestra=sister;baba=grandmother;dida=grandfather;sin=son;kćerka=daughter;porodica=family;roditelj=parent;dijete=child;čovjek=person;žena=woman;muškarac=man;djevojka=girl;dječak=boy;beba=baby;prijatelj=friend;komšija=neighbor;rođak=relative
2|Courtesy|zdravo=hello;hvala=thank you;molim=please;da=yes;ne=no;doviđenja=goodbye;ćao=hi / bye;izvini=sorry;dobrodošlica=welcome (noun);pozdrav=greeting
167|Online basics|sajt=website;stranica=page;pretraživač=browser / search engine;lozinka=password;nalog=account;korisnik=user;prijavljivanje=sign-in;veza=connection;datoteka=file;fascikla=folder
168|Digital actions|kliknuti=to click;učitati=to load (data);poslati=to send;sačuvati=to save;obrisati=to delete;kopirati=to copy;nalijepiti=to paste;pretražiti=to search;instalirati=to install;ažurirati=to update
169|Photos and memories|snimak=recording;video=video;objava=post;komentar=comment;dijeljenje=sharing;pratilac=follower;profil=profile;filter=filter;rezolucija=resolution;pohrana=storage
170|Online safety|prevara=scam;laž=lie;istina=truth;pristanak=consent;identitet=identity;privatno=privately;javno=publicly;sumnjiv=suspicious;pouzdan=reliable;anoniman=anonymous
171|The restaurant menu|predjelo=starter;čorba=hearty soup;pečenje=roast meat;salata=salad;meso=meat;sir=cheese;jaje=egg;hljeb=bread;ribarnica=fish shop;specijalitet=specialty
172|Traditional food|pršut=dry-cured ham;kajmak=clotted cream / dairy spread;cicvara=traditional cooked cornmeal dish;kačamak=cornmeal or potato dish;burek=filled pastry;pita=pie;ćevap=grilled minced-meat sausage;pljeskavica=grilled meat patty;sarma=stuffed cabbage roll;priganica=fried dough fritter
173|Cooking ingredients|ulje=oil;so=salt;biber=pepper (spice);sirće=vinegar;senf=mustard;majonez=mayonnaise;sos=sauce;začin=seasoning;origano=oregano;bosiljak=basil
174|Food preferences|vegetarijanac=vegetarian;vegan=vegan;gluten=gluten;laktoza=lactose;alergen=allergen;sastojak=ingredient;pikantan=piquant;blag=mild;hrskav=crispy;sočan=juicy
175|Meat and fish dishes|teletina=veal;jagnjetina=lamb;pačetina=duck meat;ćufta=meatball;kobasica=sausage;šnicla=cutlet;pastrmka=trout;brancin=sea bass;orada=sea bream;sardina=sardine
176|Dessert choices|puding=pudding;štrudla=strudel;baklava=baklava;tulumba=syrup-soaked fried pastry;krempita=custard slice;krofna=doughnut;mus=mousse;šlag=whipped cream;kugla=scoop / sphere;preliv=topping
177|Around a meal|apetit=appetite;ukus=taste;miris=smell;aroma=aroma;tekstura=texture;svježina=freshness;zasićenost=fullness;uživanje=enjoyment;poslastica=treat;gozba=feast
178|Serving and sharing|rasporediti=to distribute;poređati=to arrange in a row;ponuditi=to offer;servirati=to serve food;odbaciti=to discard;okusiti=to taste;žvakati=to chew;progutati=to swallow;namazati=to spread;umakati=to dip
179|After the meal|suđe=dishes;ostaci=leftovers;otpatak=scrap;mrva=crumb;fleka=stain;pranje=washing;sušenje=drying;odlaganje=putting away;pometi=to sweep;isprati=to rinse
180|Hosting dinner|ugostiti=to host;dočekati=to welcome on arrival;počastiti=to treat someone;razgovarati=to converse;proslaviti=to celebrate;zahvalnica=thank-you note;rastanak=parting;pozdravljanje=greeting / saying goodbye;dobrodošao=welcome (adjective);zdravica=toast (speech)
181|Stories from yesterday|događaj=event;doživljaj=experience;avantura=adventure;putovanje=journey;susret=encounter;iznenađujući=surprising;neobičan=unusual;neočekivan=unexpected;smiješan=funny (amusing);nezaboravan=unforgettable
182|Telling a story|najprije=first of all;zatim=then;potom=after that;napokon=finally;odjednom=suddenly;polako=slowly;brzo=quickly;nažalost=unfortunately;srećom=fortunately;ipak=nevertheless
183|Story structure|uvod=introduction;zaplet=plot complication;vrhunac=climax;rasplet=resolution;zaključak=conclusion;lik=character;pripovjedač=narrator;naslov=title;poglavlje=chapter;odlomak=paragraph
184|Talking about experience|sjetiti=to recall (with se);prepričati=to retell;doživjeti=to experience;saznati=to find out;naučiti=to learn successfully;upoznati=to get acquainted;otkriti=to discover;primati=to receive;postati=to become;ostati=to remain
185|Then and now|nekad=once / formerly;nekadašnji=former;trenutni=current;budući=future;prethodni=previous;sljedeći=next;posljednji=last;prvi=first;četvrti=fourth;treći=third
186|Future plans|budućnost=future;odluka=decision;mogućnost=possibility;izletnik=day-tripper;odredište=destination;polazak=departure (setting off);povratak=return;priprema=preparation;prioritet=priority;namjena=purpose
187|Making choices|odlučiti=to decide;vagati=to weigh;planirati=to plan;predložiti=to suggest;razmotriti=to consider;odustati=to give up;pokušati=to try;uspjeti=to succeed;obećati=to promise;namjeravati=to intend
188|Possibility and certainty|moguć=possible;nemoguć=impossible;vjerovatan=probable;nevjerovatan=incredible;siguran=certain;nesiguran=uncertain;ostvariv=achievable;neophodan=necessary;obavezan=compulsory;slobodan=free / available
189|Organizing the trip|spisak=list;podsjetnik=reminder;zabilješka=note;provjera=check;dogovaranje=arranging;organizacija=organization;koordinacija=coordination;pratnja=escort / company;preporučljiv=advisable;fleksibilan=flexible
190|Looking forward|radovati=to look forward (with se);nadati=to hope (with se);očekivati=to expect;zamišljati=to imagine;maštati=to daydream;sanjariti=to dream of things;željan=eager;nestrpljiv=impatient;oduševljen=delighted;motivisan=motivated
191|Cultural places|crkva=church;džamija=mosque;sinagoga=synagogue;hram=temple;spomenik=monument;galerija=gallery;arhiv=archive;ruševina=ruin;iskopina=excavation / remains;baština=heritage
192|Local life|zanat=craft;zanatlija=craftsperson;radionica=workshop;udruženje=association;opština=municipality;stanovnik=resident;komšiluk=neighborhood;korzo=promenade;čaršija=old market district;sabor=gathering / assembly
193|Language and culture|azbuka=Cyrillic alphabet;abeceda=Latin alphabet;slovo=letter;slog=syllable;izgovor=pronunciation;akcenat=accent;dijalekat=dialect;prevod=translation;značenje=meaning (of a word);poslovica=proverb
194|Everyday explanations|zbog=because of;prema=toward / according to;između=between;ispred=in front of;iza=behind;iznad=above;ispod=below;pored=beside;protiv=against;umjesto=instead of
195|Being specific|ovaj=this;onaj=that over there;taj=that;svaki=every;neki=some;čitav=whole;ostali=remaining;većina=majority;manjina=minority;polovina=half
196|Independent travel task|putarina=toll;iznajmljivanje=rental;depozit=deposit;osiguravač=insurer;odšteta=compensation;potrošnja=consumption;kilometraža=mileage;obilaznica=bypass;servis=repair service;vulkanizer=tire repairer
197|Unexpected situations|nestanak=disappearance / outage;prekid=interruption;zastoj=standstill;odgovarati=to respond / suit;reagovati=to react;improvizacija=improvisation;alternativa=alternative;rezerva=reserve;zamjenski=replacement (adjective);obnoviti=to restore
198|Keeping in touch|dopisivanje=correspondence;razglednica=postcard;koverta=envelope;markica=postage stamp;pošiljka=shipment;pakovanje=packaging;dostava=delivery;primalac=recipient;pošiljalac=sender;pismo=letter (mail)
199|Saying thank you|zahvalan=grateful;drag=dear;srdačan=warmhearted;iskrenost=sincerity;nostalgija=nostalgia;suvenir=souvenir;posveta=dedication;porodičan=family-related;utisak=impression;obećanje=promise
200|Next adventure|samostalnost=independence;samopouzdanje=self-confidence;radoznalost=curiosity;istrajnost=perseverance;napredovanje=advancement;dostignuće=achievement;iskustvo=experience (knowledge);usavršavanje=improvement;povezanost=connectedness;nastavak=continuation
